"id","ssn","isim","soyisim","maas","adres"
1,"123456789","Ali","Can",3000,"Istanbul"
2,"234567890","Veli","Cem",2890,"Ankara"
3,"345678901","Mine","Bulut",4200,"Adiyaman"
4,"256789012","Mahmut","Bulut",3150,"Adana"
5,"344678901","Mine","Yasa",5000,"Ankara"
6,"345458901","Veli","Yilmaz",7000,"Istanbul"
7,"113456789","Ali","Can",3000,"Istanbul"
8,"224567890","Veli","Cem",2890,"Ankara"
9,"335678901","Mine","Bulut",4200,"Ankara"
10,"446789012","Mahmut","Bulut",3150,"Istanbul"
11,"554678901","Mine","Yasa",5000,"Ankara"
12,"665458901","Veli","Yilmaz",7000,"Istanbul"
